
lora r 8
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.515100	0.459036	0.500000	0.825927
20	0.469900	0.414067	0.500000	0.825927
30	0.384200	0.345644	0.500000	0.825927
40	0.303600	0.259535	0.649834	0.878091
50	0.206400	0.168237	0.914067	0.963679
60	0.152000	0.130496	0.928572	0.956530
70	0.092100	0.087865	0.938133	0.971600
80	0.117400	0.081266	0.950046	0.971020
90	0.069300	0.076134	0.956060	0.970827
100	0.040600	0.105056	0.961072	0.958849
110	0.068000	0.056051	0.963250	0.978362

lora_S r 8 only diagonal
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.503400	0.456457	0.500000	0.825927
20	0.462700	0.372990	0.500000	0.825927
30	0.336700	0.261596	0.701443	0.896059
40	0.212600	0.178427	0.909179	0.950541
50	0.124500	0.104507	0.925198	0.971213
60	0.115300	0.095840	0.940231	0.966383
70	0.062600	0.061059	0.953995	0.979714
80	0.088700	0.050777	0.960801	0.982998
90	0.052600	0.069449	0.969640	0.973725
100	0.033100	0.066974	0.971245	0.972759
110	0.050800	0.040209	0.973679	0.984737
120	0.043500	0.099574	0.964810	0.959235
130	0.030900	0.038792	0.975926	0.983385
140	0.028900	0.064009	0.972997	0.972759
150	0.051600	0.036450	0.979052	0.984930
160	0.034400	0.055330	0.975715	0.975077
170	0.030800	0.040217	0.978992	0.983385
180	0.028500	0.031401	0.979054	0.987828
190	0.007000	0.028265	0.980605	0.991113
200	0.050100	0.031840	0.980425	0.986476
210	0.022700	0.057975	0.977584	0.975270

pissa
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.511600	0.455298	0.500000	0.825927
20	0.463200	0.389234	0.500000	0.825927
30	0.356800	0.302096	0.613208	0.865340
40	0.251900	0.194254	0.872712	0.953246
50	0.157700	0.139929	0.926883	0.960974
60	0.130600	0.120337	0.938268	0.958076
70	0.079300	0.076697	0.952387	0.977782
80	0.119600	0.092119	0.952492	0.963485
90	0.060900	0.086617	0.956991	0.966577
100	0.043800	0.102041	0.955961	0.956917

lora r 32
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.516400	0.459589	0.500000	0.825927
20	0.470400	0.416498	0.500000	0.825927
30	0.387100	0.350945	0.500000	0.825927
40	0.312500	0.275155	0.609878	0.864181
50	0.224800	0.185006	0.911118	0.963872
60	0.161700	0.135438	0.928164	0.957303
70	0.095300	0.089107	0.938106	0.973725
80	0.128100	0.084787	0.948264	0.970247
90	0.074000	0.076939	0.957287	0.971406
100	0.042800	0.096809	0.962653	0.962906
110	0.067600	0.056466	0.964477	0.978941
120	0.066300	0.126671	0.954754	0.945518
130	0.048900	0.056944	0.967804	0.977202
140	0.045900	0.067669	0.969143	0.972179
150	0.038200	0.053663	0.969147	0.977975
160	0.055700	0.049480	0.969645	0.979521
170	0.034400	0.082923	0.966888	0.964838
180	0.041500	0.046745	0.970230	0.980487
190	0.017600	0.041941	0.971021	0.983964
200	0.066300	0.048624	0.972186	0.980100
210	0.033100	0.090566	0.965572	0.961940

lora r 64
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.516800	0.459762	0.500000	0.825927
20	0.470500	0.417315	0.500000	0.825927
30	0.388000	0.352679	0.500000	0.825927
40	0.315700	0.281107	0.590455	0.857419
50	0.234000	0.195543	0.909366	0.963872
60	0.169200	0.139543	0.925770	0.957689
70	0.099100	0.093545	0.935769	0.972759
80	0.134200	0.089039	0.948585	0.970054
90	0.075600	0.078447	0.955622	0.970827
100	0.041700	0.092079	0.962478	0.964065
110	0.065700	0.057932	0.963337	0.977782
120	0.068600	0.128578	0.954169	0.944552
130	0.048300	0.055639	0.967513	0.978168
140	0.043100	0.066444	0.970165	0.973145
150	0.036100	0.049239	0.968097	0.979134
160	0.051100	0.060622	0.972475	0.976236
170	0.036700	0.075055	0.969227	0.968702
180	0.042800	0.049088	0.971193	0.979907
190	0.020700	0.044135	0.972305	0.983192
200	0.067700	0.047886	0.972888	0.981260
210	0.035900	0.087421	0.965689	0.962133

lora_s r 32
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.506400	0.456269	0.500000	0.825927
20	0.466200	0.387986	0.500000	0.825927
30	0.354100	0.290865	0.633740	0.872488
40	0.236200	0.180135	0.914739	0.964065
50	0.135900	0.109468	0.926950	0.971213
60	0.114100	0.099313	0.941923	0.964838
70	0.067600	0.065975	0.955453	0.977782
80	0.092000	0.054365	0.963486	0.981646
90	0.055300	0.065206	0.970342	0.974884
100	0.032600	0.076372	0.968438	0.968122
110	0.048400	0.042382	0.973970	0.983771
120	0.042100	0.085108	0.967296	0.964065
130	0.031900	0.037879	0.975839	0.983964
140	0.036400	0.055243	0.975103	0.976236
150	0.039500	0.034731	0.977885	0.985896
160	0.044600	0.039701	0.977210	0.982612
170	0.023700	0.047031	0.976653	0.979521
180	0.025700	0.029225	0.978763	0.988794
190	0.009400	0.032544	0.980017	0.987249
200	0.042400	0.035063	0.979403	0.985510
210	0.014700	0.045444	0.978843	0.979521
220	0.056900	0.037875	0.982994	0.984930

adalora
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	1.707800	1.628858	0.500000	0.825927
20	1.620200	1.551529	0.500000	0.825927
30	1.504400	1.452084	0.500000	0.825927
40	1.402300	1.360220	0.500555	0.826121
50	1.317500	1.271056	0.662597	0.882535
60	1.240400	1.185742	0.830831	0.940495
70	1.127100	1.103058	0.816870	0.936244
80	1.105200	1.028212	0.898765	0.961553
90	1.006800	0.962774	0.917541	0.962906
100	0.894800	0.881728	0.912812	0.965224
110	0.851400	0.813071	0.916697	0.966577
120	0.793800	0.757288	0.929543	0.964645


slora ortoreg
Step	Training Loss	Validation Loss	Val-auc	Val-accuracy
10	0.738700	0.690714	0.500000	0.825927
20	0.696300	0.605873	0.500000	0.825927
30	0.569400	0.494355	0.703108	0.896638
40	0.444800	0.405479	0.909911	0.952473
50	0.353200	0.333212	0.925198	0.971213
60	0.343200	0.322131	0.940348	0.966577
70	0.289600	0.287292	0.953557	0.979714
80	0.314400	0.276249	0.960801	0.982998
90	0.277000	0.292755	0.969991	0.974304
100	0.260300	0.294610	0.969842	0.970440
110	0.279400	0.262348	0.974207	0.987056
120	0.268900	0.334755	0.961886	0.954405
130	0.253300	0.260528	0.976745	0.984737
140	0.250200	0.279504	0.974284	0.974884
150	0.252900	0.251278	0.980341	0.989954
160	0.267400	0.281638	0.975481	0.974691
170	0.252800	0.264244	0.978203	0.982805
180	0.252500	0.253547	0.977827	0.987249
190	0.227700	0.250065	0.979933	0.990726
200	0.271400	0.252676	0.979987	0.986476
210	0.242400	0.278656	0.976678	0.974498
220	0.272800	0.251996	0.981359	0.985124
230	0.261800	0.241961	0.982444	0.990533
240	0.248800	0.250767	0.982118	0.984930
250	0.229300	0.270956	0.981207	0.978362
